str,id_ID,en_US,zh_CN
Cari,cari,search,搜索
Rental,Rental,Rentals,出租
Request,Request,Request,要求
Lelang,Lelang,Auction,拍卖
RFQ,RFQ,RFQ,询价
Jasa_Penyewaan_Alat,Jasa Penyewaan Alat,Equipment Rental Services,设备租赁服务
Publikasi_Permintaan,Publikasi Permintaan,Request Publication,请求发表
Informasi_Lelang_Tender,Informasi Lelang Tender,Tender Auction Information,招标拍卖信息
Request_From_Quatation,Request From Quatation,Request From Quatation,报价请求
Temukan_Kebutuhanmu,Temukan Kebutuhanmu,Find Your Needs,找到您的需求
Aki,Aki,Battery,电池
Alat_Berat,Alat Berat,Heavy equipment,重型设备
Safety_Tools,Safety Tools,Safety Tools,安全工具
Pelumas,Pelumas,Lubricants,润滑剂
Peralatan_Kerja,Peralatan Kerja,Work equipment,工作设备
Truck_and_Bus,Truck & Bus,Trucks & Buses,卡车和公共汽车
Sparepart,Sparepart,spare parts,备件
Ban,Ban,Tire,胎
Flasah_Sale,Flasah Sale,Flash Sale,闪购
Pelumas_Industri_yang_bagus,Pelumas Industri yang bagus,Good Industrial Lubricants,良好的工业润滑油
Berbagai_Macam_Brand,Berbagai Macam Brand,Various Brands,各种品牌
Keranjang,Keranjang,Basket,篮子
Beranda,Beranda,Home page,主页
Pesan,Pesan,Message,信息
Promo,Promo,Promo,促销
Akun,Akun,Account,帐户
Apa_Yang_Baru,Apa Yang Baru?,What's new?,什么是新的？
View_All,View All,View All,查看全部
Automotive_Oils,Automotive Oils,Automotive Oils,汽车油
Cutting_Oils,Cutting Oils,Cutting Oils,切削油
Engine_Oils,Engine Oils,Engine Oils,发动机油
Brake_Fluids,Brake Fluids,Brake Fluids,制动液
Compressor_Oils,Compressor Oils,Compressor Oils,压缩机油
Petronas,Petronas,Petronas,马来西亚国家石油公司
Shell,Shell,shell,壳
Repsol,Repsol,Repsol,雷普索尔
Addinol,Addinol,Addinol,阿迪诺
Pertamina,Pertamina,Pertamina,国家石油公司
Castrol,Castrol,Castrol,嘉实多
Mulai,Mulai,Start,开始
Off_Road,Off Road,Offroad,越野
Bus_Radial,Bus Radial,Radial Buses,径向总线
Mobil,Mobil,Car,车
Truck,Truck,trucks,卡车
Motor,Motor,Motorcycle,摩托车
Bridgestone,Bridgestone,Bridgestone,普利司通
Maxima,Maxima,Maxima,千里马
Hankook,Hankook,Hankook,韩泰轮胎
Kaizen,Kaizen,Kaizen,改善
Good_Year,Good Year,Good Year,丰年
Dunlop,Dunlop,Dunlop,邓洛普
Forklift,Forklift,Forklift,叉车
Dumptruck,Dumptruck,Dumptruck,垃圾车
Bulldozer,Bulldozer,bulldozer,推土机
Crane,Crane,cranes,起重机
Excavator,Excavator,Excavators,挖掘机
Hoist_Crane,Hoist Crane,Hoist Cranes,葫芦起重机
Grader,Grader,Graders,分级机
Roller,Roller,Rollers,滚筒
Untuk_meningkatkan_mutu_dan_pelayanan_kami_kami_menjamin_kualitas_toko_kami_melalui_5_point_berikut,"Untuk meningkatkan mutu dan pelayanan kami, kami menjamin kualitas toko kami melalui 5 point berikut :","To improve our quality and service, we guarantee the quality of our stores through the following 5 points:",为了提高我们的品质和服务，我们通过以下5点来保证店铺的品质：
Produk_Terlengkap,Produk Terlengkap,Complete Products,产品齐全
Produk_lengkap_dari_semua_brand,Produk lengkap dari semua brand,Complete products from all brands,所有品牌的产品齐全
Pengiriman_Cepat,Pengiriman Cepat,Fast delivery,交货快
Produk_Terjamin,Produk Terjamin,Guaranteed Products,有保证的产品
Toko_terpercaya_sejak_2019,Toko terpercaya sejak 2019,Trusted shop since 2019,2019年以来值得信赖的商店
Potensi_Keuntungan,Potensi Keuntungan,Profit Potential,盈利潜力
Jual_kembali_produk_dengan_keuntungan_maksimal,Jual kembali produk dengan keuntungan maksimal,Resell products with maximum profit,转售产品以获得最大利润
Harga_Termurah,Harga Termurah,Cheapest Price,最便宜的价格
Murah_langsung_dari_sumbernya,Murah langsung dari sumbernya,Cheap straight from the source,源头直供，价格便宜
News,News,News,消息
